Occupation Code / 职业代码,Occupation Name / 职业名称,Task ID / 任务编号,Task Description (CN) / 任务描述 (中文),Weight Category / 权重类别,Weight Percentage / 权重百分比,Substitutivity (0-1) / 替代性 (0-1 分制),Augmentation (0-1) / 增强性 (0-1 分制),Complementarity (0-1) / 互补性 (0-1 分制),Substitutivity (1-5) / 替代性 (1-5 分制),Augmentation (1-5) / 增强性 (1-5 分制),Complementarity (1-5) / 互补性 (1-5 分制)
,铁路车站调车作业员,T001,执行车辆摘钩与连挂操作,Primary,0.12,0.15,0.65,0.8,2,4,4
,铁路车站调车作业员,T002,实施列车制动与缓解控制,Primary,0.12,0.1,0.7,0.85,1,4,4
,铁路车站调车作业员,T003,监控调车作业现场安全状态,Primary,0.12,0.2,0.75,0.8,2,4,4
,铁路车站调车作业员,T004,核对车辆编组计划与信号指令,Primary,0.12,0.35,0.8,0.65,2,4,4
,铁路车站调车作业员,T005,执行非正常情况下的应急避险,Primary,0.12,0.05,0.4,0.9,1,3,5
,铁路车站调车作业员,T006,传递调车作业手信号与指令,Secondary,0.1,0.4,0.6,0.5,3,3,3
,铁路车站调车作业员,T007,检查车辆连接部件与制动装置,Secondary,0.1,0.3,0.7,0.6,2,4,3
,铁路车站调车作业员,T008,记录调车作业日志与数据报表,Secondary,0.1,0.85,0.9,0.3,4,5,2
,铁路车站调车作业员,T009,维护调车作业设备与工具,Ancillary,0.05,0.5,0.5,0.4,3,3,3
,铁路车站调车作业员,T010,参与班组安全会议与培训,Ancillary,0.05,0.9,0.8,0.2,5,4,2
,通信工程技术人员,T001,Analyze communication protocols and network standards,Primary,0.12,0.85,0.9,0.6,4,5,3
,通信工程技术人员,T002,Design network topology and capacity planning models,Primary,0.12,0.4,0.8,0.75,3,4,4
,通信工程技术人员,T003,Oversee equipment installation and field engineering execution,Primary,0.12,0.15,0.4,0.85,2,3,4
,通信工程技术人员,T004,Resolve complex network faults and system anomalies,Primary,0.12,0.3,0.7,0.7,2,4,4
,通信工程技术人员,T005,Develop and test new communication device prototypes,Primary,0.12,0.2,0.65,0.8,2,4,4
