occupation_code,occupation_name,isco08_code,major_category,substitutivity_01,augmentation_01,complementarity_01,substitutivity_5,augmentation_5,complementarity_5,exposure_index_rho,agentic_potential,cognitive_requirement,physicality_intensity,language_intensity
6-30-02-02,铁路车站调车作业员,8330,8,0.327,0.681,0.65,2,4,4,0.327,0,65,85,40
2-02-10-01,通信工程技术人员,2149,2,0.4305,0.694,0.6965,3,4,4,0.4305,0,75,30,65
6-25-01-12,电子产品制版工,7412,7,0.336,0.709,0.652,2,4,4,0.336,0,65,25,40
1-01-00-01,中国共产党机关负责人,1112,1,0.284,0.6955,0.757,2,4,4,0.284,0,92,25,88
1-01-00-02,中国共产党基层组织负责人,1349,1,0.356,0.69,0.6565,2,4,4,0.356,0,75,30,85
1-02-01-00,国家权力机关负责人,1112,1,0.4385,0.558,0.578,3,3,3,0.4385,0,92,25,88
1-02-02-00,国家行政机关负责人,1124,1,0.2585,0.531,0.7415,2,3,4,0.2585,0,85,20,75
1-02-03-00,人民政协机关负责人,1120,1,0.3245,0.6905,0.692,2,4,4,0.3245,0,85,20,80
1-02-04-00,监察机关负责人,1349,1,0.409,0.6035,0.5985,3,3,3,0.409,0,85,20,75
1-02-05-01,人民法院负责人,1349,1,0.2445,0.587,0.756,2,3,4,0.2445,0,92,20,85
1-02-05-02,人民检察院负责人,1349,1,0.2885,0.601,0.724,2,3,4,0.2885,0,92,20,85
1-03-00-01,民主党派负责人,1120,1,0.3554,0.6775,0.7486,2,4,4,0.3554,0,85,20,80
1-03-00-02,工商联负责人,1120,1,0.395,0.6955,0.638,3,4,4,0.395,0,85,20,80
1-04-01-01,工会负责人,1349,1,0.4655,0.7185,0.5345,3,4,3,0.4655,0,72,25,78
1-04-01-02,共青团负责人,1349,1,0.3815,0.7285,0.615,3,4,3,0.3815,0,72,25,78
1-04-01-03,妇联负责人,1349,1,0.3755,0.6805,0.627,3,4,4,0.3755,0,72,20,75
1-04-01-04,其他人民团体和群众团体负责人,1349,1,0.317,0.623,0.563,2,3,3,0.317,0,75,20,80
1-04-02-00,社会团体负责人,1124,1,0.3551,0.767,0.64,2,4,4,0.3551,0,75,20,80
1-04-03-00,民办非企业单位负责人,1349,1,0.409,0.6855,0.719,3,4,4,0.409,0,75,10,80
1-04-04-00,社会中介组织负责人,1349,1,0.3125,0.6885,0.7035,2,4,4,0.3125,0,75,20,80
1-04-05-00,基金会负责人,1349,1,0.408,0.726,0.6325,3,4,4,0.408,0,85,20,75
1-04-06-00,宗教组织负责人,2422,2,0.385,0.6215,0.615,3,3,3,0.385,0,75,20,85
1-05-00-01,居民委员会负责人,1349,1,0.408,0.6575,0.635,3,4,4,0.408,0,65,25,80
1-05-00-02,村民委员会负责人,1349,1,0.3925,0.655,0.734,3,4,4,0.3925,0,65,25,75
1-06-01-01,企业董事,1120,1,0.2965,0.622,0.7315,2,3,4,0.2965,0,92,25,85
