Occupation Code / 职业代码,Occupation Name / 职业名称,Avg Substitutivity (0-1) / 平均替代性 (0-1),Avg Augmentation (0-1) / 平均增强性 (0-1),Avg Complementarity (0-1) / 平均互补性 (0-1),Avg Substitutivity (1-5) / 平均替代性 (1-5),Avg Augmentation (1-5) / 平均增强性 (1-5),Avg Complementarity (1-5) / 平均互补性 (1-5),Exposure Index Rho / 暴露指数 Rho
,铁路车站调车作业员,,,,,,,0.327
,通信工程技术人员,,,,,,,0.4305
,电子产品制版工,,,,,,,0.336
,中国共产党机关负责人,,,,,,,0.284
,中国共产党基层组织负责人,,,,,,,0.356
,国家权力机关负责人,,,,,,,0.4385
,国家行政机关负责人,,,,,,,0.2585
,人民政协机关负责人,,,,,,,0.3245
,监察机关负责人,,,,,,,0.409
,人民法院负责人,,,,,,,0.2445
,人民检察院负责人,,,,,,,0.2885
,民主党派负责人,,,,,,,0.3554
,工商联负责人,,,,,,,0.395
,工会负责人,,,,,,,0.4655
,共青团负责人,,,,,,,0.3815
,妇联负责人,,,,,,,0.3755
,其他人民团体和群众团体负责人,,,,,,,0.317
,社会团体负责人,,,,,,,0.3551
,民办非企业单位负责人,,,,,,,0.409
,社会中介组织负责人,,,,,,,0.3125
,基金会负责人,,,,,,,0.408
,宗教组织负责人,,,,,,,0.385
,居民委员会负责人,,,,,,,0.408
,村民委员会负责人,,,,,,,0.3925
,企业董事,,,,,,,0.2965
,企业经理,,,,,,,0.386
,国有企业中国共产党组织负责人,,,,,,,0.3221
,事业单位负责人,,,,,,,0.2755
,哲学研究人员,,,,,,,0.365
,经济学研究人员,,,,,,,0.4725
,法学研究人员,,,,,,,0.374
,教育学研究人员,,,,,,,0.413
,心理学研究人员,,,,,,,0.446
,体育学研究人员,,,,,,,0.5205
,历史学研究人员,,,,,,,0.335
,数学研究人员,,,,,,,0.4195
,物理科学研究人员,,,,,,,0.413
,化学研究人员,,,,,,,0.3815
,天文学研究人员,,,,,,,0.441
,生物学研究人员,,,,,,,0.3795
,地球科学研究人员,,,,,,,0.4225
,农业科学研究人员,,,,,,,0.379
,医学研究人员,,,,,,,0.3745
,管理学研究人员,,,,,,,0.4015
,文学、艺术学研究人员,,,,,,,0.4615
,军事学研究人员,,,,,,,0.484
,地质实验测试工程技术人员,,,,,,,0.38
,地球物理地球化学与遥感勘查工程技术人员,,,,,,,0.476
,水工环地质工程技术人员,,,,,,,0.4245
,地质矿产调查工程技术人员,,,,,,,0.4685
,钻探工程技术人员,,,,,,,0.3515
,大地测量工程技术人员,,,,,,,0.4005
,工程测量工程技术人员,,,,,,,0.3825
,摄影测量与遥感工程技术人员,,,,,,,0.326
,地图制图工程技术人员,,,,,,,0.379
,海洋测绘工程技术人员,,,,,,,0.353
,地理国情监测工程技术人员,,,,,,,0.579
,地理信息系统工程技术人员,,,,,,,0.4935
,导航与位置服务工程技术人员,,,,,,,0.458
,地质测绘工程技术人员,,,,,,,0.3845
,矿井建设工程技术人员,,,,,,,0.3525
,采矿工程技术人员,,,,,,,0.3785
,矿山通风工程技术人员,,,,,,,0.316
,选矿与矿物加工工程技术人员,,,,,,,0.473
,矿山环保复垦工程技术人员,,,,,,,0.438
,石油天然气开采工程技术人员,,,,,,,0.388
,石油天然气储运工程技术人员,,,,,,,0.3805
,冶炼工程技术人员,,,,,,,0.3725
,轧制工程技术人员,,,,,,,0.406
,焦化工程技术人员,,,,,,,0.353
,金属材料工程技术人员,,,,,,,0.339
,耐火材料工程技术人员,,,,,,,0.2955
,炭素材料工程技术人员,,,,,,,0.3435
,冶金热能工程技术人员,,,,,,,0.277
,铸管工程技术人员,,,,,,,0.4345
,稀土工程技术人员,,,,,,,0.4545
,化工实验工程技术人员,,,,,,,0.405
,化工设计工程技术人员,,,,,,,0.319
,化工生产工程技术人员,,,,,,,0.237
,机械设计工程技术人员,,,,,,,0.3845
,机械制造工程技术人员,,,,,,,0.326
,仪器仪表工程技术人员,,,,,,,0.3855
,设备工程技术人员,,,,,,,0.3425
,医学设备管理工程技术人员,,,,,,,0.4955
,模具设计工程技术人员,,,,,,,0.3675
,自动控制工程技术人员,,,,,,,0.3865
,材料成形与改性工程技术人员,,,,,,,0.418
,焊接工程技术人员,,,,,,,0.4165
,特种设备管理和应用工程技术人员,,,,,,,0.3735
,汽车工程技术人员,,,,,,,0.5255
,船舶工程技术人员,,,,,,,0.3475
,铸造工程技术人员,,,,,,,0.3955
,飞行器设计工程技术人员,,,,,,,0.4445
,飞行器制造工程技术人员,,,,,,,0.3815
,航空动力装置设计工程技术人员,,,,,,,0.261
,航空动力装置制造工程技术人员,,,,,,,0.2925
,航空产品试验与飞行试验工程技术人员,,,,,,,0.3445
,航空产品适航工程技术人员,,,,,,,0.4465
,航空产品支援工程技术人员,,,,,,,0.48
,机载设备设计制造工程技术人员,,,,,,,0.403
,电子材料工程技术人员,,,,,,,0.303
,电子元器件工程技术人员,,,,,,,0.409
,雷达导航工程技术人员,,,,,,,0.3585
,电子仪器与电子测量工程技术人员,,,,,,,0.295
,广播视听设备工程技术人员,,,,,,,0.237
,计算机硬件工程技术人员,,,,,,,0.475
,计算机软件工程技术人员,,,,,,,0.44
,计算机网络工程技术人员,,,,,,,0.4615
,信息系统分析工程技术人员,,,,,,,0.434
,嵌入式系统设计工程技术人员,,,,,,,0.2985
,信息安全工程技术人员,,,,,,,0.4175
,信息系统运行维护工程技术人员,,,,,,,0.443
,电工电器工程技术人员,,,,,,,0.3955
,电缆光缆工程技术人员,,,,,,,0.369
,光源与照明工程技术人员,,,,,,,0.265
,发电工程技术人员,,,,,,,0.4515
,供用电工程技术人员,,,,,,,0.301
,变电工程技术人员,,,,,,,0.3825
,输电工程技术人员,,,,,,,0.32
,电力工程安装工程技术人员,,,,,,,0.3915
,邮政工程技术人员,,,,,,,0.365
,快递工程技术人员,,,,,,,0.402
,广播电视制播工程技术人员,,,,,,,0.3205
,广播电视传输覆盖工程技术人员,,,,,,,0.3975
,电影工程技术人员,,,,,,,0.3215
,演艺设备工程技术人员,,,,,,,0.3815
,汽车运用工程技术人员,,,,,,,0.4605
,船舶运用工程技术人员,,,,,,,0.4485
,水上交通工程技术人员,,,,,,,0.494
,水上救助打捞工程技术人员,,,,,,,0.3685
,船舶检验工程技术人员,,,,,,,0.3705
,无线电航标操作与维护工程技术人员,,,,,,,0.4345
,视觉航标工程技术人员,,,,,,,0.4865
,道路交通工程技术人员,,,,,,,0.302
,公路养护工程技术人员,,,,,,,0.3515
,民用航空器维修与适航工程技术人员,,,,,,,0.3525
,民航空中交通管理工程技术人员,,,,,,,0.4405
,民航通用航空工程技术人员,,,,,,,0.349
,民航飞行签派工程技术人员,,,,,,,0.4165
,铁道运输工程技术人员,,,,,,,0.394
,铁道机务工程技术人员,,,,,,,0.4825
,铁道车辆工程技术人员,,,,,,,0.2795
,铁道电务工程技术人员,,,,,,,0.369
,铁道供电工程技术人员,,,,,,,0.4105
,铁道工务工程技术人员,,,,,,,0.4915
,建筑和市政设计工程技术人员,,,,,,,0.365
,土木建筑工程技术人员,,,,,,,0.344
,风景园林工程技术人员,,,,,,,0.3445
,供水排水工程技术人员,,,,,,,0.3425
,工程勘察与岩土工程技术人员,,,,,,,0.4145
,城镇燃气与供热工程技术人员,,,,,,,0.3625
,环境卫生工程技术人员,,,,,,,0.4035
,道路与桥隧工程技术人员,,,,,,,0.348
,港口与航道工程技术人员,,,,,,,0.3755
,民航机场工程技术人员,,,,,,,0.3125
,铁路建筑工程技术人员,,,,,,,0.3965
,水利水电建筑工程技术人员,,,,,,,0.373
,爆破工程技术人员,,,,,,,0.3865
,硅酸盐工程技术人员,,,,,,,0.4385
,非金属矿及制品工程技术人员,,,,,,,0.4395
,无机非金属材料工程技术人员,,,,,,,0.425
,混凝土工程技术人员,,,,,,,0.388
,防沙治沙工程技术人员,,,,,,,0.379
,森林培育工程技术人员,,,,,,,0.334
,园林绿化工程技术人员,,,,,,,0.4155
,野生动植物保护利用工程技术人员,,,,,,,0.5045
,自然保护区工程技术人员,,,,,,,0.31
,森林保护工程技术人员,,,,,,,0.441
,木竹藤棕草加工工程技术人员,,,,,,,0.3915
,森林采伐和运输工程技术人员,,,,,,,0.459
,经济林产品加工工程技术人员,,,,,,,0.4315
,林业资源调查与监测工程技术人员,,,,,,,0.461
,园林植物保护工程技术人员,,,,,,,0.338
,湿地保护修复工程技术人员,,,,,,,0.3865
,水文水资源工程技术人员,,,,,,,0.4375
,水生态和河湖治理管护工程技术人员,,,,,,,0.4615
,水利工程管理工程技术人员,,,,,,,0.4065
,防汛抗旱减灾工程技术人员,,,,,,,0.3855
,节水工程技术人员,,,,,,,0.43
,海洋调查与监测工程技术人员,,,,,,,0.455
,海洋环境预报工程技术人员,,,,,,,0.3905
,海洋资源开发利用和保护工程技术人员,,,,,,,0.3755
,海洋工程勘察设计工程技术人员,,,,,,,0.405
,海水淡化工程技术人员,,,,,,,0.363
,深潜工程技术人员,,,,,,,0.306
,纺织工程技术人员,,,,,,,0.365
,染整工程技术人员,,,,,,,0.401
,化学纤维工程技术人员,,,,,,,0.2485
,非织造工程技术人员,,,,,,,0.403
,服装工程技术人员,,,,,,,0.3775
,食品工程技术人员,,,,,,,0.3865
,气象观测工程技术人员,,,,,,,0.5055
,天气预报工程技术人员,,,,,,,0.3615
,气候监测预测工程技术人员,,,,,,,0.4915
,气象服务工程技术人员,,,,,,,0.438
,人工影响天气工程技术人员,,,,,,,0.318
,防雷工程技术人员,,,,,,,0.3705
,地震监测预测工程技术人员,,,,,,,0.338
,地震应急救援工程技术人员,,,,,,,0.394
,地震安全性评价工程技术人员,,,,,,,0.338
,环境监测工程技术人员,,,,,,,0.342
,环境污染防治工程技术人员,,,,,,,0.4375
,环境影响评价工程技术人员,,,,,,,0.376
,核与辐射安全工程技术人员,,,,,,,0.324
,核与辐射监测工程技术人员,,,,,,,0.3515
,健康安全环境工程技术人员,,,,,,,0.3795
,安全技术防范工程技术人员,,,,,,,0.3255
,消防工程技术人员,,,,,,,0.4265
,安全生产管理工程技术人员,,,,,,,0.3305
,安全评价工程技术人员,,,,,,,0.4165
,房屋安全鉴定工程技术人员,,,,,,,0.5105
,防伪工程技术人员,,,,,,,0.4185
,标准化工程技术人员,,,,,,,0.5745
,计量工程技术人员,,,,,,,0.45
,质量管理工程技术人员,,,,,,,0.431
,质量认证认可工程技术人员,,,,,,,0.5115
,可靠性工程技术人员,,,,,,,0.2905
,工业工程技术人员,,,,,,,0.5485
,物流工程技术人员,,,,,,,0.4565
,战略规划与管理工程技术人员,,,,,,,0.39
,项目管理工程技术人员,,,,,,,0.3915
,再生资源工程技术人员,,,,,,,0.3965
,能源管理工程技术人员,,,,,,,0.393
,监理工程技术人员,,,,,,,0.313
,信息管理工程技术人员,,,,,,,0.448
,数据分析处理工程技术人员,,,,,,,0.426
,工程造价工程技术人员,,,,,,,0.427
,供应链工程技术人员,,,,,,,0.5245
,产品质量检验工程技术人员,,,,,,,0.3925
,进出口商品检验鉴定工程技术人员,,,,,,,0.5235
,进出境动物和植物检验检疫人员,,,,,,,0.3785
,特种设备检验检测工程技术人员,,,,,,,0.363
,纤维质量检验工程技术人员,,,,,,,0.434
,卫生检疫人员,,,,,,,0.35
,制药工程技术人员,,,,,,,0.3915
,印刷复制工程技术人员,,,,,,,0.4015
,产品设计工程技术人员,,,,,,,0.4515
,工业设计工程技术人员,,,,,,,0.4595
,矫形器师,,,,,,,0.308
,假肢师,,,,,,,0.4535
,听力师,,,,,,,0.407
,制浆造纸工程技术人员,,,,,,,0.3625
,皮革化学工程技术人员,,,,,,,0.315
,生物发酵工程技术人员,,,,,,,0.3585
,日用化工工程技术人员,,,,,,,0.4465
,塑料加工工程技术人员,,,,,,,0.3565
,土地整治与生态修复工程技术人员,,,,,,,0.408
,城乡规划工程技术人员,,,,,,,0.3655
,人工智能工程技术人员,,,,,,,0.358
,物联网工程技术人员,,,,,,,0.5585
,大数据工程技术人员,,,,,,,0.4395
,云计算工程技术人员,,,,,,,0.5075
,智能制造工程技术人员,,,,,,,0.396
,工业互联网工程技术人员,,,,,,,0.4245
,虚拟现实工程技术人员,,,,,,,0.4215
,区块链工程技术人员,,,,,,,0.3125
,集成电路工程技术人员,,,,,,,0.295
,机器人工程技术人员,,,,,,,0.3
,增材制造工程技术人员,,,,,,,0.4025
,数据安全工程技术人员,,,,,,,0.3705
,密码工程技术人员,,,,,,,0.316
,土壤肥料技术人员,,,,,,,0.4805
,农业技术指导人员,,,,,,,0.386
,植物保护技术人员,,,,,,,0.383
,园艺技术人员,,,,,,,0.493
,作物遗传育种栽培技术人员,,,,,,,0.3515
,兽医,,,,,,,0.404
,兽药技术人员,,,,,,,0.437
,宠物医师,,,,,,,0.484
,畜牧技术人员,,,,,,,0.441
,草业技术人员,,,,,,,0.2635
,水产养殖技术人员,,,,,,,0.295
,渔业资源开发利用技术人员,,,,,,,0.3325
,农业工程技术人员,,,,,,,0.3245
,飞行驾驶员,,,,,,,0.463
,飞行机械员,,,,,,,0.4965
,飞行领航员,,,,,,,0.251
,飞行通信员,,,,,,,0.433
,甲板部技术人员,,,,,,,0.4045
,轮机部技术人员,,,,,,,0.4095
,船舶引航员,,,,,,,0.3565
,内科医师,,,,,,,0.351
,外科医师,,,,,,,0.401
,儿科医师,,,,,,,0.309
,妇产科医师,,,,,,,0.3975
,眼科医师,,,,,,,0.381
,耳鼻咽喉科医师,,,,,,,0.391
,口腔科医师,,,,,,,0.4365
,皮肤科医师,,,,,,,0.451
,精神科医师,,,,,,,0.35
,传染病科医师,,,,,,,0.3605
,急诊科医师,,,,,,,0.303
,康复科医师,,,,,,,0.451
,麻醉科医师,,,,,,,0.335
,病理科医师,,,,,,,0.31
,放射科医师,,,,,,,0.402
,核医学科医师,,,,,,,0.2935
,超声科医师,,,,,,,0.439
,肿瘤科医师,,,,,,,0.306
,全科医师,,,,,,,0.414
,医学遗传科医师,,,,,,,0.3785
,妇幼保健医师,,,,,,,0.4
,疼痛科医师,,,,,,,0.3555
,重症医学科医师,,,,,,,0.3615
,临床检验科医师,,,,,,,0.5015
,职业病科医师,,,,,,,0.3665
,中医内科医师,,,,,,,0.388
,中医外科医师,,,,,,,0.433
,中医妇科医师,,,,,,,0.436
,中医儿科医师,,,,,,,0.455
,中医眼科医师,,,,,,,0.363
,中医皮肤科医师,,,,,,,0.409
,中医骨伤科医师,,,,,,,0.3105
,中医肛肠科医师,,,,,,,0.328
,中医耳鼻咽喉科医师,,,,,,,0.373
,针灸医师,,,,,,,0.4415
,中医推拿医师,,,,,,,0.4185
,中医营养医师,,,,,,,0.4755
,中医整脊科医师,,,,,,,0.364
,中医康复医师,,,,,,,0.407
,中医全科医师,,,,,,,0.397
,中医亚健康医师,,,,,,,0.383
,中西医结合内科医师,,,,,,,0.387
,中西医结合外科医师,,,,,,,0.4175
,中西医结合妇科医师,,,,,,,0.323
,中西医结合儿科医师,,,,,,,0.3015
,中西医结合骨伤科医师,,,,,,,0.35
,中西医结合肛肠科医师,,,,,,,0.449
,中西医结合皮肤与性病科医师,,,,,,,0.365
,民族医医师,,,,,,,0.33
,疾病控制医师,,,,,,,0.4915
,健康教育医师,,,,,,,0.4525
,公共卫生医师,,,,,,,0.5135
,药师,,,,,,,0.438
,中药师,,,,,,,0.397
,民族药师,,,,,,,0.4465
,影像技师,,,,,,,0.393
,口腔医学技师,,,,,,,0.3725
,病理技师,,,,,,,0.453
,临床检验技师,,,,,,,0.4325
,公卫检验技师,,,,,,,0.306
,卫生工程技师,,,,,,,0.39
,输血技师,,,,,,,0.331
,临床营养技师,,,,,,,0.4435
,消毒技师,,,,,,,0.375
,肿瘤放射治疗技师,,,,,,,0.3615
,心电学技师,,,,,,,0.3225
,神经电生理脑电图技师,,,,,,,0.329
,心理治疗技师,,,,,,,0.304
,病案信息技师,,,,,,,0.4185
,中医技师,,,,,,,0.502
,内科护士,,,,,,,0.273
,儿科护士,,,,,,,0.285
,急诊护士,,,,,,,0.4065
,外科护士,,,,,,,0.3775
,社区护士,,,,,,,0.3515
,助产士,,,,,,,0.268
,口腔科护士,,,,,,,0.3955
,妇产科护士,,,,,,,0.3785
,中医护士,,,,,,,0.3735
