occupation_code,occupation_name,ksa_id,ksa_type,ksa_unit_name,ksa_definition,subcategory,related_tasks,semantic_cluster_id
6-30-02-02,铁路车站调车作业员,K001,Knowledge,调车作业安全规范,掌握铁路车站调车作业中关于车辆连接、制动操作及现场安全距离的强制性法规与标准。,Declarative,T001|T002|T003,CL0001
6-30-02-02,铁路车站调车作业员,K002,Knowledge,车辆制动系统操作流程,理解并记忆车辆制动机的工作原理、操作步骤及常见故障的应急处理程序。,Procedural,T002|T007,CL0002
6-30-02-02,铁路车站调车作业员,K003,Knowledge,非正常行车应急预案,在设备故障或突发环境变化下，制定并执行最优避险策略的决策逻辑。,Strategic,T005|T003,CL0003
6-30-02-02,铁路车站调车作业员,S001,Skill,车辆连挂与摘钩实操,熟练运用肢体动作完成车辆间的物理连接与分离，确保连接牢固且符合安全标准。,Technical,T001|T007,CL0004
6-30-02-02,铁路车站调车作业员,S002,Skill,作业指令传递与沟通,通过手信号、无线电或口头指令准确、及时地与其他作业人员协调作业动作。,Interpersonal,T006|T004,CL0005
6-30-02-02,铁路车站调车作业员,S003,Skill,动态风险感知与判断,在作业过程中实时识别潜在危险源并迅速做出反应决策的能力。,Cognitive,T003|T005,CL0006
6-30-02-02,铁路车站调车作业员,A001,Ability,突发状况应急反应,面对设备故障或环境突变时，保持冷静并迅速执行避险措施的心理与生理反应速度。,Cognitive,T005|T003,CL0007
6-30-02-02,铁路车站调车作业员,A002,Ability,高强度体力负荷承受,在户外复杂环境下长时间进行搬运、攀爬、推拉等重体力劳动的生理耐力。,Physical,T001|T007,CL0008
6-30-02-02,铁路车站调车作业员,A003,Ability,团队协作与责任承担,在高风险作业环境中建立信任，对团队安全结果负责并主动配合他人的社会心理能力。,Social,T006|T008,CL0009
2-02-10-01,通信工程技术人员,K001,Knowledge,Communication Principles and Standards,"Declarative knowledge of signal transmission, modulation, and adherence to national/international communication standards.",Declarative,T001|T007,CL0010
2-02-10-01,通信工程技术人员,K002,Knowledge,Network Planning and Engineering Procedures,"Procedural knowledge regarding the step-by-step methodologies for designing, installing, and maintaining communication infrastructure.",Procedural,T002|T003,CL0011
2-02-10-01,通信工程技术人员,K003,Knowledge,Strategic Technology Roadmapping,Strategic understanding of how to align current network capabilities with future technological shifts and business goals.,Strategic,T005|T010,CL0012
2-02-10-01,通信工程技术人员,S001,Skill,Equipment Debugging and Configuration,"Technical skill to operate, configure, and troubleshoot physical communication hardware and software systems.",Technical,T003|T004,CL0013
2-02-10-01,通信工程技术人员,S002,Skill,Stakeholder Coordination and Negotiation,"Interpersonal skill to manage relationships with clients, teams, and regulatory bodies to ensure project success.",Interpersonal,T006,CL0014
2-02-10-01,通信工程技术人员,S003,Skill,Systematic Fault Diagnosis,Cognitive skill to logically deduce root causes of complex network failures using analytical frameworks.,Cognitive,T004|T008,CL0015
2-02-10-01,通信工程技术人员,A001,Ability,Analytical Problem Solving,Cognitive ability to process large datasets and identify patterns to solve non-routine technical issues.,Cognitive,T001|T004,CL0016
2-02-10-01,通信工程技术人员,A002,Ability,Physical Dexterity and Endurance,"Physical ability to perform field work, climb towers, and handle heavy equipment in varying environmental conditions.",Physical,T003|T009,CL0017
2-02-10-01,通信工程技术人员,A003,Ability,Ethical and Social Responsibility,"Social ability to make decisions that prioritize public safety, data privacy, and regulatory compliance.",Social,T006|T010,CL0018
6-25-01-12,电子产品制版工,K001,Knowledge,制版工艺原理,理解光绘、图形转移及电路设计的物理与化学基础理论,Declarative,T001|T002,CL0019
6-25-01-12,电子产品制版工,K002,Knowledge,光绘设备操作规范,掌握设备启动、参数设定、故障排除及日常维护的标准作业程序,Procedural,T001|T006,CL0020
6-25-01-12,电子产品制版工,K003,Knowledge,质量控制策略,制定并执行针对电路板图形缺陷的预防与检测策略,Strategic,T003|T004,CL0021
6-25-01-12,电子产品制版工,S001,Skill,精密绘图技能,能够熟练运用绘图软件与光绘工具准确绘制电路线路,Technical,T005,CL0022
6-25-01-12,电子产品制版工,S002,Skill,团队协作沟通,与上下游工序人员及新员工进行有效信息传递与协调,Interpersonal,T008|T010,CL0023
6-25-01-12,电子产品制版工,S003,Skill,故障诊断分析,通过观察现象与数据分析定位制版失败的根本原因,Cognitive,T004,CL0024
6-25-01-12,电子产品制版工,A001,Ability,视觉分辨能力,能够敏锐识别微米级图形缺陷与色彩差异,Cognitive,T003,CL0025
6-25-01-12,电子产品制版工,A002,Ability,精细手部操作,具备稳定的手部控制能力以完成精密设备操作与调整,Physical,T001|T006,CL0026
6-25-01-12,电子产品制版工,A003,Ability,职业责任感,对产品质量负责，保持严谨的工作态度与持续改进意识,Social,T003|T010,CL0027
1-01-00-01,中国共产党机关负责人,K001,Knowledge,Party Theory and Policy Knowledge,"Declarative understanding of the Communist Party of China's theoretical framework, historical documents, and current policy directives.",Declarative,T001|T006,CL0028
1-01-00-01,中国共产党机关负责人,K002,Knowledge,Organizational Workflow Management,"Procedural knowledge of internal party procedures, personnel management protocols, and administrative hierarchies.",Procedural,T002|T007,CL0029
1-01-00-01,中国共产党机关负责人,K003,Knowledge,Strategic Political Decision Making,"Strategic understanding of long-term organizational goals, risk assessment, and ideological alignment in decision contexts.",Strategic,T005|T009,CL0030
1-01-00-01,中国共产党机关负责人,S001,Skill,Document Drafting and Policy Formulation,Technical ability to translate political directives into formal administrative documents and policy frameworks.,Technical,T001|T006,CL0031
1-01-00-01,中国共产党机关负责人,S002,Skill,Interpersonal Coordination and Conflict Resolution,"Interpersonal skill to negotiate, mediate, and build consensus among diverse stakeholders within the organization.",Interpersonal,T003|T008,CL0032
1-01-00-01,中国共产党机关负责人,S003,Skill,Analytical and Critical Thinking,"Cognitive skill to analyze complex data, identify trends, and formulate logical arguments for decision-making.",Cognitive,T004|T007,CL0033
1-01-00-01,中国共产党机关负责人,A001,Ability,Political Sensitivity and Judgment,Cognitive ability to perceive subtle political implications and make sound judgments under uncertainty.,Cognitive,T005|T009,CL0034
1-01-00-01,中国共产党机关负责人,A002,Ability,Physical Endurance and Presence,"Physical ability to maintain presence and energy levels during extended meetings, inspections, and mobilization events.",Physical,T008|T003,CL0035
1-01-00-01,中国共产党机关负责人,A003,Ability,Leadership and Authority,"Social ability to inspire trust, command respect, and influence the behavior of subordinates and peers.",Social,T004|T008,CL0036
1-01-00-02,中国共产党基层组织负责人,K001,Knowledge,基层党建知识体系,对党章党规、基层组织条例及最新政策文件的系统性掌握与理解。,Declarative,T001|T004|T007,CL0037
1-01-00-02,中国共产党基层组织负责人,K002,Knowledge,思想政治工作方法论,掌握开展思想引导、矛盾化解及群众动员的具体操作流程与技巧。,Procedural,T002|T003|T005,CL0038
1-01-00-02,中国共产党基层组织负责人,K003,Knowledge,区域治理战略规划,基于本地实际情况制定长期党建目标与资源配置策略的宏观思维框架。,Strategic,T004|T008,CL0039
1-01-00-02,中国共产党基层组织负责人,S001,Skill,公文写作与数据处理,熟练运用党务公文规范进行文档撰写、档案管理及信息检索的技术能力。,Technical,T006|T007|T010,CL0040
1-01-00-02,中国共产党基层组织负责人,S002,Skill,群众沟通与动员技巧,在复杂人际场景中建立信任、化解分歧并有效组织群众行动的语言与非语言交互能力。,Interpersonal,T002|T003|T005,CL0041
1-01-00-02,中国共产党基层组织负责人,S003,Skill,政策分析与决策制定,将宏观政策转化为可执行方案，并基于数据与经验进行逻辑推理与判断的认知技能。,Cognitive,T004|T008,CL0042
1-01-00-02,中国共产党基层组织负责人,A001,Ability,复杂问题解决能力,在信息不完全或环境动态变化时，迅速识别核心矛盾并制定有效应对策略的智力潜能。,Cognitive,T003|T004,CL0043
1-01-00-02,中国共产党基层组织负责人,A002,Ability,高强度体力耐力,适应频繁下乡走访、长时间会议组织及户外活动的身体机能与抗压能力。,Physical,T001|T002,CL0044
1-01-00-02,中国共产党基层组织负责人,A003,Ability,社会情感亲和力,通过非语言信号与情感共鸣建立人际信任、获得群众认同的社会互动潜能。,Social,T003|T005,CL0045
1-02-01-00,国家权力机关负责人,K001,Knowledge,国家法律法规体系,对国家宪法、法律、行政法规及地方性法规的条文、原则及适用范围的系统性掌握。,Declarative,T002|T006,CL0046
1-02-01-00,国家权力机关负责人,K002,Knowledge,人大议事规则与程序,关于立法程序、会议组织、表决方式及法定流程的操作规范与执行标准。,Procedural,T001|T007,CL0047
1-02-01-00,国家权力机关负责人,K003,Knowledge,宏观行政战略理论,关于国家治理结构、政策制定逻辑及长远发展规划的战略性知识框架。,Strategic,T004|T008,CL0048
1-02-01-00,国家权力机关负责人,S001,Skill,会议组织与主持,有效掌控会议流程、引导议题讨论、维持会场秩序及确保程序合法性的操作技能。,Technical,T001|T007,CL0049
1-02-01-00,国家权力机关负责人,S002,Skill,多方利益协调,在复杂政治环境中平衡不同群体诉求、化解冲突并达成共识的沟通与谈判技巧。,Interpersonal,T003|T008,CL0050
1-02-01-00,国家权力机关负责人,S003,Skill,法律文本审议,精准识别法律条文逻辑漏洞、评估条款可行性及进行文本修订的专业处理能力。,Cognitive,T002|T006,CL0051
1-02-01-00,国家权力机关负责人,A001,Ability,复杂决策判断,在信息不完全或存在价值冲突的情况下，依据法律与政治原则做出最终决断的内在认知能力。,Cognitive,T002|T004,CL0052
1-02-01-00,国家权力机关负责人,A002,Ability,体力耐力与专注,维持长时间高强度会议主持及文件审阅所需的生理机能与精神专注力。,Physical,T001|T009,CL0053
1-02-01-00,国家权力机关负责人,A003,Ability,社会信任构建,通过个人魅力、公正形象及道德权威建立公众与利益相关者信任的社会互动能力。,Social,T003|T005,CL0054
