occupation_code,occupation_name,isco08_code,isco08_title,major_category,task_count,ksa_count,substitutivity_01,augmentation_01,complementarity_01,substitutivity_5,augmentation_5,complementarity_5,exposure_index_rho,agentic_potential,cognitive_requirement,physicality_intensity,language_intensity,connecting_labor_flag,connecting_labor_depth,vibe_coding_flag,vibe_coding_depth,isco08_status
6-30-02-02,铁路车站调车作业员,8330,Railway and Tram Station Workers,8,10,9,0.327,0.681,0.65,2,4,4,0.327,0,65,85,40,1,3,0,0,unmatched
2-02-10-01,通信工程技术人员,2149,Engineering professionals not elsewhere classified,2,10,9,0.4305,0.694,0.6965,3,4,4,0.4305,0,75,30,65,1,3,0,0,unmatched
6-25-01-12,电子产品制版工,7412,Printing and Related Trades Workers,7,10,9,0.336,0.709,0.652,2,4,4,0.336,0,65,25,40,1,2,0,0,verified
1-01-00-01,中国共产党机关负责人,1112,Administrative and Commercial Managers,1,10,9,0.284,0.6955,0.757,2,4,4,0.284,0,92,25,88,1,4,0,0,verified
1-01-00-02,中国共产党基层组织负责人,1349,Business Services Agents Not Elsewhere Classified,1,10,9,0.356,0.69,0.6565,2,4,4,0.356,0,75,30,85,1,4,0,0,unmatched
1-02-01-00,国家权力机关负责人,1112,Legislators,1,10,9,0.4385,0.558,0.578,3,3,3,0.4385,0,92,25,88,1,4,0,0,verified
1-02-02-00,国家行政机关负责人,1124,Administrative Services Managers,1,10,9,0.2585,0.531,0.7415,2,3,4,0.2585,0,85,20,75,1,4,0,0,unmatched
1-02-03-00,人民政协机关负责人,1120,Administrative Services Managers,1,10,9,0.3245,0.6905,0.692,2,4,4,0.3245,0,85,20,80,1,4,0,0,verified
1-02-04-00,监察机关负责人,1349,Professional Services Officers Not Elsewhere Classified,1,10,9,0.409,0.6035,0.5985,3,3,3,0.409,0,85,20,75,1,4,0,0,unmatched
1-02-05-01,人民法院负责人,1349,Business Services Administrators Not Elsewhere Classified,1,10,9,0.2445,0.587,0.756,2,3,4,0.2445,0,92,20,85,1,4,0,0,unmatched
1-02-05-02,人民检察院负责人,1349,Professional Services Managers Not Elsewhere Classified,1,10,9,0.2885,0.601,0.724,2,3,4,0.2885,0,92,20,85,1,4,0,0,unmatched
