Code / 代码,Name (CN) / 名称 (中文),ISCO-08 Code / ISCO-08 代码,ISCO-08 Title (EN) / ISCO-08 英文名称,Task Count / 任务数量,KSA Count / KSA 数量,Avg Substitutivity / 平均替代性,Avg Augmentation / 平均增强性,Avg Complementarity / 平均互补性,Cognitive Req / 认知门槛,Physical Intensity / 体力强度,Language Intensity / 语言强度
6-30-02-02,铁路车站调车作业员,8330,Railway and Tram Station Workers,10,9,0.38,0.68,0.60,65,85,40
2-02-10-01,通信工程技术人员,2149,Engineering professionals not elsewhere classified,10,9,0.42,0.68,0.70,75,30,65
6-25-01-12,电子产品制版工,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.70,0.62,65,25,40
1-01-00-01,中国共产党机关负责人,VERIFIED,Matched in ISCO-08 reference,10,9,0.30,0.69,0.74,92,25,88
1-01-00-02,中国共产党基层组织负责人,1349,Business Services Agents Not Elsewhere Classified,10,9,0.42,0.70,0.60,75,30,85
1-02-01-00,国家权力机关负责人,VERIFIED,Matched in ISCO-08 reference,10,9,0.52,0.56,0.49,92,25,88
1-02-02-00,国家行政机关负责人,1124,Administrative Services Managers,10,9,0.31,0.55,0.69,85,20,75
1-02-03-00,人民政协机关负责人,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.72,0.62,85,20,80
1-02-04-00,监察机关负责人,1349,Professional Services Officers Not Elsewhere Classified,10,9,0.45,0.61,0.55,85,20,75
1-02-05-01,人民法院负责人,1349,Business Services Administrators Not Elsewhere Classified,10,9,0.30,0.62,0.72,92,20,85
1-02-05-02,人民检察院负责人,1349,Professional Services Managers Not Elsewhere Classified,10,9,0.34,0.63,0.68,92,20,85
1-03-00-01,民主党派负责人,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.69,0.72,85,20,80
1-03-00-02,工商联负责人,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.70,0.61,85,20,80
1-04-01-01,工会负责人,1349,Business Professionals Not Elsewhere Classified,10,9,0.52,0.72,0.48,72,25,78
1-04-01-02,共青团负责人,1349,Business Services Professionals Not Elsewhere Classified,10,9,0.42,0.74,0.57,72,25,78
1-04-01-03,妇联负责人,1349,Business Services Agents Not Elsewhere Classified,10,9,0.40,0.69,0.61,72,20,75
1-04-01-04,其他人民团体和群众团体负责人,1349,Business Services Agents Not Elsewhere Classified,10,9,0.47,0.73,0.53,75,20,80
1-04-02-00,社会团体负责人,1124,Association Managers,10,9,0.43,0.79,0.57,75,20,80
1-04-03-00,民办非企业单位负责人,1349,Business Services Professionals Not Elsewhere Classified,10,9,0.46,0.70,0.68,75,10,80
1-04-04-00,社会中介组织负责人,1349,Business Services Administrators Not Elsewhere Classified,10,9,0.38,0.72,0.65,75,20,80
1-04-05-00,基金会负责人,1349,Business Professionals Not Elsewhere Classified,10,9,0.43,0.72,0.61,85,20,75
1-04-06-00,宗教组织负责人,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.65,0.57,75,20,85
1-05-00-01,居民委员会负责人,1349,Business Services Agents Not Elsewhere Classified,10,9,0.43,0.67,0.61,65,25,80
1-05-00-02,村民委员会负责人,1349,Business Services Agents Not Elsewhere Classified,10,9,0.43,0.65,0.70,65,25,75
1-06-01-01,企业董事,VERIFIED,Matched in ISCO-08 reference,10,9,0.30,0.60,0.72,92,25,85
1-06-01-02,企业经理,VERIFIED,Matched in ISCO-08 reference,10,9,0.41,0.67,0.64,85,10,75
1-06-01-03,国有企业中国共产党组织负责人,1349,Business Services Professionals Not Elsewhere Classified,10,9,0.38,0.69,0.60,85,20,80
1-06-02-00,事业单位负责人,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.66,0.65,85,20,75
2-01-01-00,哲学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.67,0.64,92,10,95
2-01-02-00,经济学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.48,0.68,0.59,85,10,75
2-01-03-00,法学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.38,0.70,0.62,92,10,95
2-01-04-01,教育学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.65,0.72,85,10,80
2-01-04-02,心理学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.45,0.68,0.63,85,20,75
2-01-04-03,体育学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.70,0.62,82,25,75
2-01-05-00,历史学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.34,0.68,0.77,85,10,80
2-01-06-01,数学研究人员,2121,Mathematicians,10,9,0.42,0.70,0.57,92,10,75
2-01-06-02,物理科学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.70,0.65,92,25,75
2-01-06-03,化学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.66,0.62,85,30,65
2-01-06-04,天文学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.47,0.76,0.70,92,25,75
2-01-06-05,生物学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.62,0.72,85,20,75
2-01-06-06,地球科学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.67,0.65,85,40,65
2-01-07-00,农业科学研究人员,2122,Agricultural Professionals,10,9,0.40,0.72,0.70,85,25,75
2-01-08-00,医学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.36,0.65,0.70,85,25,75
2-01-09-00,管理学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.42,0.70,0.58,85,10,80
2-01-10-00,文学、艺术学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.72,0.59,85,10,90
2-01-11-00,军事学研究人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.53,0.72,0.62,85,20,75
2-02-01-01,地质实验测试工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.39,0.68,0.68,75,30,65
2-02-01-02,地球物理地球化学与遥感勘查工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.46,0.68,0.73,78,45,65
2-02-01-03,水工环地质工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.68,0.73,75,30,65
2-02-01-04,地质矿产调查工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.49,0.70,0.62,75,40,65
2-02-01-05,钻探工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.37,0.69,0.67,75,40,60
2-02-02-01,大地测量工程技术人员,2126,Surveying and Mapping Professionals,10,9,0.42,0.66,0.63,75,40,65
2-02-02-02,工程测量工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.43,0.64,0.54,72,45,60
2-02-02-03,摄影测量与遥感工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.64,0.65,75,30,65
2-02-02-04,地图制图工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.40,0.67,0.60,72,25,65
2-02-02-05,海洋测绘工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.35,0.65,0.74,75,40,65
2-02-02-06,地理国情监测工程技术人员,VERIFIED,Matched in ISCO-08 reference,10,9,0.57,0.69,0.70,72,25,65
